word,realm,process,prosub,sub
absorptie ,Doing,Material,Material,Dispositive
 absorptiemiddel ,Doing,Material,Material,Dispositive
 absorberen ,Doing,Material,Material,Dispositive
 absorptie ,Doing,Material,Material,Dispositive
 absorberend ,Doing,Material,Material,Dispositive
 geabsorbeerd ,Doing,Material,Material,Dispositive
 absorbant ,Doing,Material,Material,Dispositive
 absorbator ,Doing,Material,Material,Dispositive
 absorbeert ,Doing,Material,Material,Dispositive
 absorpties ,Doing,Material,Material,Dispositive
 absorbeerbare stoffen ,Doing,Material,Material,Dispositive
 geabsorbeerd ,Doing,Material,Material,Dispositive
 absorptievermogen ,Doing,Material,Material,Dispositive
 absorberend ,Doing,Material,Material,Dispositive
 absorptievermogen ,Doing,Material,Material,Dispositive
 absorptie ,Doing,Material,Material,Dispositive
 absorberend ,Doing,Material,Material,Dispositive
 absorbantia ,Doing,Material,Material,Dispositive
 absorptiemiddelen ,Doing,Material,Material,Dispositive
 absorbiviteit ,Doing,Material,Material,Dispositive
 absorbeerbaar ,Doing,Material,Material,Dispositive
 absorptie ,Doing,Material,Material,Dispositive
 absorptiemogelijkheden ,Doing,Material,Material,Dispositive
 absorberend ,Doing,Material,Material,Dispositive
 absorbantia ,Doing,Material,Material,Dispositive
 absorptie ,Doing,Material,Material,Dispositive
 absorbaat,Doing,Material,Material,Dispositive
begeleider ,Doing,Material,Material,Dispositive
 begeleiden ,Doing,Material,Material,Dispositive
 begeleid ,Doing,Material,Material,Dispositive
 begeleiding ,Doing,Material,Material,Dispositive
 begeleiding ,Doing,Material,Material,Dispositive
 begeleiders ,Doing,Material,Material,Dispositive
 vergezeld ,Doing,Material,Material,Dispositive
 begeleidt ,Doing,Material,Material,Dispositive
 begeleidt ,Doing,Material,Material,Dispositive
 begeleidend ,Doing,Material,Material,Dispositive
 begeleidt ,Doing,Material,Material,Dispositive
 begeleidende maatregelen ,Doing,Material,Material,Dispositive
 meegaand ,Doing,Material,Material,Dispositive
 begeleiding ,Doing,Material,Material,Dispositive
 begeleider,Doing,Material,Material,Dispositive
weldoener ,Doing,Material,Material,Dispositive
 verwerven ,Doing,Material,Material,Dispositive
 te verwerven ,Doing,Material,Material,Dispositive
 Koper ,Doing,Material,Material,Dispositive
 verworven ,Doing,Material,Material,Dispositive
 aanvragen ,Doing,Material,Material,Dispositive
 overgenomen ,Doing,Material,Material,Dispositive
 aanvaardbaar ,Doing,Material,Material,Dispositive
 acquiral ,Doing,Material,Material,Dispositive
 toelaatbaarheid ,Doing,Material,Material,Dispositive
 verwerft ,Doing,Material,Material,Dispositive
 verwerving ,Doing,Material,Material,Dispositive
 Verkocht ,Doing,Material,Material,Dispositive
 Verwerving ,Doing,Material,Material,Dispositive
 verwerven,Doing,Material,Material,Dispositive
toevoegen ,Doing,Material,Material,Dispositive
 toevoegingen ,Doing,Material,Material,Dispositive
 toegevoegd ,Doing,Material,Material,Dispositive
 toevoegen ,Doing,Material,Material,Dispositive
 addatieve,Doing,Material,Material,Dispositive
van toepassing ,Doing,Material,Material,Dispositive
 toegepast ,Doing,Material,Material,Dispositive
 van toepassing ,Doing,Material,Material,Dispositive
 toegepast ,Doing,Material,Material,Dispositive
 aanvragen ,Doing,Material,Material,Dispositive
 van toepassing ,Doing,Material,Material,Dispositive
 aanvraag ,Doing,Material,Material,Dispositive
 Toepassing ,Doing,Material,Material,Dispositive
 toepassing ,Doing,Material,Material,Dispositive
 aanvragen,Doing,Material,Material,Dispositive
adapterend ,Doing,Material,Material,Dispositive
 adaptatie ,Doing,Material,Material,Dispositive
 aanpassen ,Doing,Material,Material,Dispositive
