word,realm,process,prosub,sub
absorbence ,Doing,Material,Material,Dispositive
 absorbative ,Doing,Material,Material,Dispositive
 absorbe ,Doing,Material,Material,Dispositive
 absorbation ,Doing,Material,Material,Dispositive
 absorbent ,Doing,Material,Material,Dispositive
 absorbes ,Doing,Material,Material,Dispositive
 absorbant ,Doing,Material,Material,Dispositive
 absorber ,Doing,Material,Material,Dispositive
 absorbings ,Doing,Material,Material,Dispositive
 absorbs ,Doing,Material,Material,Dispositive
 absorbables ,Doing,Material,Material,Dispositive
 absorbed ,Doing,Material,Material,Dispositive
 absorbability ,Doing,Material,Material,Dispositive
 absorbing ,Doing,Material,Material,Dispositive
 absorbency ,Doing,Material,Material,Dispositive
 absorbment ,Doing,Material,Material,Dispositive
 absorbently ,Doing,Material,Material,Dispositive
 absorbancies ,Doing,Material,Material,Dispositive
 absorbences ,Doing,Material,Material,Dispositive
 absorbivity ,Doing,Material,Material,Dispositive
 absorbable ,Doing,Material,Material,Dispositive
 absorbancy ,Doing,Material,Material,Dispositive
 absorbabilities ,Doing,Material,Material,Dispositive
 absorbic ,Doing,Material,Material,Dispositive
 absorbants ,Doing,Material,Material,Dispositive
 absorbance ,Doing,Material,Material,Dispositive
 absorbate,Doing,Material,Material,Dispositive
accompanient ,Doing,Material,Material,Dispositive
 accompany ,Doing,Material,Material,Dispositive
 accompanyed ,Doing,Material,Material,Dispositive
 accompaniement ,Doing,Material,Material,Dispositive
 accompanieing ,Doing,Material,Material,Dispositive
 accompaniers ,Doing,Material,Material,Dispositive
 accompanied ,Doing,Material,Material,Dispositive
 accompanies ,Doing,Material,Material,Dispositive
 accompanys ,Doing,Material,Material,Dispositive
 accompanying ,Doing,Material,Material,Dispositive
 accompanie ,Doing,Material,Material,Dispositive
 accompaniements ,Doing,Material,Material,Dispositive
 accompaniable ,Doing,Material,Material,Dispositive
 accompaniment ,Doing,Material,Material,Dispositive
 accompanier,Doing,Material,Material,Dispositive
acquirant ,Doing,Material,Material,Dispositive
 acquire ,Doing,Material,Material,Dispositive
 acquireable ,Doing,Material,Material,Dispositive
 acquirer ,Doing,Material,Material,Dispositive
 acquired ,Doing,Material,Material,Dispositive
 acquirments ,Doing,Material,Material,Dispositive
 acquirent ,Doing,Material,Material,Dispositive
 acquirable ,Doing,Material,Material,Dispositive
 acquiral ,Doing,Material,Material,Dispositive
 acquirability ,Doing,Material,Material,Dispositive
 acquires ,Doing,Material,Material,Dispositive
 acquirement ,Doing,Material,Material,Dispositive
 acquirred ,Doing,Material,Material,Dispositive
 acquiring ,Doing,Material,Material,Dispositive
 acquireing,Doing,Material,Material,Dispositive
adde ,Doing,Material,Material,Dispositive
 addes ,Doing,Material,Material,Dispositive
 addded ,Doing,Material,Material,Dispositive
 addding ,Doing,Material,Material,Dispositive
 addative,Doing,Material,Material,Dispositive
apply ,Doing,Material,Material,Dispositive
 applied ,Doing,Material,Material,Dispositive
 applys ,Doing,Material,Material,Dispositive
 applyed ,Doing,Material,Material,Dispositive
 applyings ,Doing,Material,Material,Dispositive
 applies ,Doing,Material,Material,Dispositive
 applie ,Doing,Material,Material,Dispositive
 appliing ,Doing,Material,Material,Dispositive
 applying ,Doing,Material,Material,Dispositive
 applis,Doing,Material,Material,Dispositive
adaptent ,Doing,Material,Material,Dispositive
 adaptional ,Doing,Material,Material,Dispositive
 adaptate ,Doing,Material,Material,Dispositive
 adaptments ,Doing,Material,Material,Dispositive
 adaptating ,Doing,Material,Material,Dispositive
 adaptes ,Doing,Material,Material,Dispositive
 adaptators ,Doing,Material,Material,Dispositive
 adapte ,Doing,Material,Material,Dispositive
 adaptates ,Doing,Material,Material,Dispositive
 adapting ,Doing,Material,Material,Dispositive
 adaptableness ,Doing,Material,Material,Dispositive
 adaptives ,Doing,Material,Material,Dispositive
 adaptativeness ,Doing,Material,Material,Dispositive
 adaptational ,Doing,Material,Material,Dispositive
 adapted ,Doing,Material,Material,Dispositive
 adaptativity ,Doing,Material,Material,Dispositive
 adaptant ,Doing,Material,Material,Dispositive
 adaptible ,Doing,Material,Material,Dispositive
 adapts ,Doing,Material,Material,Dispositive
 adaptive ,Doing,Material,Material,Dispositive
 adaptative ,Doing,Material,Material,Dispositive
 adaptness ,Doing,Material,Material,Dispositive
 adaptated ,Doing,Material,Material,Dispositive
 adaptation ,Doing,Material,Material,Dispositive
 adapter ,Doing,Material,Material,Dispositive
 adaptivity ,Doing,Material,Material,Dispositive
 adaptationally ,Doing,Material,Material,Dispositive
 adaptancy ,Doing,Material,Material,Dispositive
 adaptiveness ,Doing,Material,Material,Dispositive
 adaptator ,Doing,Material,Material,Dispositive
 adaptings ,Doing,Material,Material,Dispositive
 adaptment ,Doing,Material,Material,Dispositive
 adaptability ,Doing,Material,Material,Dispositive
 adaptatives ,Doing,Material,Material,Dispositive
 adaption ,Doing,Material,Material,Dispositive
 adaptibility ,Doing,Material,Material,Dispositive
 adaptable ,Doing,Material,Material,Dispositive
 adaptably ,Doing,Material,Material,Dispositive
 adaptively ,Doing,Material,Material,Dispositive
 adaptic ,Doing,Material,Material,Dispositive
 adaptatively ,Doing,Material,Material,Dispositive
 adaptables,Doing,Material,Material,Dispositive
assisted ,Doing,Material,Material,Dispositive
 assistance ,Doing,Material,Material,Dispositive
 assistively ,Doing,Material,Material,Dispositive
 assistences ,Doing,Material,Material,Dispositive
 assisting ,Doing,Material,Material,Dispositive
 assisters ,Doing,Material,Material,Dispositive
 assiste ,Doing,Material,Material,Dispositive
 assistents ,Doing,Material,Material,Dispositive
 assistful ,Doing,Material,Material,Dispositive
 assister ,Doing,Material,Material,Dispositive
 assistive ,Doing,Material,Material,Dispositive
 assistancy ,Doing,Material,Material,Dispositive
 assistant ,Doing,Material,Material,Dispositive
 assistes ,Doing,Material,Material,Dispositive
 assistiti ,Doing,Material,Material,Dispositive
 assistions ,Doing,Material,Material,Dispositive
 assistence ,Doing,Material,Material,Dispositive
 assistancies ,Doing,Material,Material,Dispositive
 assistent,Doing,Material,Material,Dispositive
belonges ,Doing,Material,Material,Dispositive
 belongers ,Doing,Material,Material,Dispositive
 belonger ,Doing,Material,Material,Dispositive
 belonged ,Doing,Material,Material,Dispositive
 belongs ,Doing,Material,Material,Dispositive
 belonging ,Doing,Material,Material,Dispositive
 belonge ,Doing,Material,Material,Dispositive
 belongeing ,Doing,Material,Material,Dispositive
 belongness,Doing,Material,Material,Dispositive
bornee ,Doing,Material,Material,Dispositive
 bornees,Doing,Material,Material,Dispositive
borrowals ,Doing,Material,Material,Dispositive
 borrowed ,Doing,Material,Material,Dispositive
 borrowful ,Doing,Material,Material,Dispositive
 borrowal ,Doing,Material,Material,Dispositive
 borrower ,Doing,Material,Material,Dispositive
 borrowability ,Doing,Material,Material,Dispositive
 borrowable ,Doing,Material,Material,Dispositive
 borrows ,Doing,Material,Material,Dispositive
 borrowes ,Doing,Material,Material,Dispositive
 borrowing ,Doing,Material,Material,Dispositive
 borrowe,Doing,Material,Material,Dispositive
broughted ,Doing,Material,Material,Dispositive
 broughts ,Doing,Material,Material,Dispositive
 broughte,Doing,Material,Material,Dispositive
bringes ,Doing,Material,Material,Dispositive
 bringing ,Doing,Material,Material,Dispositive
 brings ,Doing,Material,Material,Dispositive
 bringeing ,Doing,Material,Material,Dispositive
 bringe ,Doing,Material,Material,Dispositive
 bringed,Doing,Material,Material,Dispositive
cansing ,Doing,Material,Material,Dispositive
 canse ,Doing,Material,Material,Dispositive
 cansed ,Doing,Material,Material,Dispositive
 cansful,Doing,Material,Material,Dispositive
carris ,Doing,Material,Material,Dispositive
 carrying ,Doing,Material,Material,Dispositive
 carried ,Doing,Material,Material,Dispositive
 carryed ,Doing,Material,Material,Dispositive
 carriing ,Doing,Material,Material,Dispositive
 carryings ,Doing,Material,Material,Dispositive
 carry ,Doing,Material,Material,Dispositive
 carrie ,Doing,Material,Material,Dispositive
 carrieing,Doing,Material,Material,Dispositive
caughte ,Doing,Material,Material,Dispositive
 caughtness ,Doing,Material,Material,Dispositive
 caughted ,Doing,Material,Material,Dispositive
 caughts,Doing,Material,Material,Dispositive
certifier ,Doing,Material,Material,Dispositive
 certified ,Doing,Material,Material,Dispositive
 certifyed ,Doing,Material,Material,Dispositive
 certifieing ,Doing,Material,Material,Dispositive
 certifiers ,Doing,Material,Material,Dispositive
 certifiant ,Doing,Material,Material,Dispositive
 certifient ,Doing,Material,Material,Dispositive
 certifies ,Doing,Material,Material,Dispositive
