realm,process,prosub,sub,V,english_words,dutch_words
Doing,Material,Material,Dispositive,absorb,absorbence | absorbative | absorbe | absorbation | absorbent | absorbes | absorbant | absorber | absorbings | absorbs | absorbables | absorbed | absorbability | absorbing | absorbency | absorbment | absorbently | absorbancies | absorbences | absorbivity | absorbable | absorbancy | absorbabilities | absorbic | absorbants | absorbance | absorbate,absorptie | absorptiemiddel | absorberen | absorptie | absorberend | geabsorbeerd | absorbant | absorbator | absorbeert | absorpties | absorbeerbare stoffen | geabsorbeerd | absorptievermogen | absorberend | absorptievermogen | absorptie | absorberend | absorbantia | absorptiemiddelen | absorbiviteit | absorbeerbaar | absorptie | absorptiemogelijkheden | absorberend | absorbantia | absorptie | absorbaat
Doing,Material,Material,Dispositive,accompani,accompanient | accompany | accompanyed | accompaniement | accompanieing | accompaniers | accompanied | accompanies | accompanys | accompanying | accompanie | accompaniements | accompaniable | accompaniment | accompanier,begeleider | begeleiden | begeleid | begeleiding | begeleiding | begeleiders | vergezeld | begeleidt | begeleidt | begeleidend | begeleidt | begeleidende maatregelen | meegaand | begeleiding | begeleider
Doing,Material,Material,Dispositive,acquir,acquirant | acquire | acquireable | acquirer | acquired | acquirments | acquirent | acquirable | acquiral | acquirability | acquires | acquirement | acquirred | acquiring | acquireing,weldoener | verwerven | te verwerven | Koper | verworven | aanvragen | overgenomen | aanvaardbaar | acquiral | toelaatbaarheid | verwerft | verwerving | Verkocht | Verwerving | verwerven
Doing,Material,Material,Dispositive,add,adde | addes | addded | addding | addative,toevoegen | toevoegingen | toegevoegd | toevoegen | addatieve
Doing,Material,Material,Dispositive,appli,apply | applied | applys | applyed | applyings | applies | applie | appliing | applying | applis,van toepassing | toegepast | van toepassing | toegepast | aanvragen | van toepassing | aanvraag | Toepassing | toepassing | aanvragen
Doing,Material,Material,Dispositive,adapt,adaptent | adaptional | adaptate | adaptments | adaptating | adaptes | adaptators | adapte | adaptates | adapting | adaptableness | adaptives | adaptativeness | adaptational | adapted | adaptativity | adaptant | adaptible | adapts | adaptive | adaptative | adaptness | adaptated | adaptation | adapter | adaptivity | adaptationally | adaptancy | adaptiveness | adaptator | adaptings | adaptment | adaptability | adaptatives | adaption | adaptibility | adaptable | adaptably | adaptively | adaptic | adaptatively | adaptables,adapterend | adaptatie | aanpassen | aanpassingen | aanpassing | past | adaptatoren | aanpassen | adapteert | aanpassing | aanpasbaarheid | adaptives | adaptatief | adaptatief | aangepast | aanpassing | adaptant | aanpasbaar | past | adaptief | adaptief | adaptatie | aangepast | aanpassing | adapter | adaptiviteit | aanpassing | adaptatie | adaptiefheid | adaptator | aanpassingen | aanpassing | aanpassingsvermogen | adaptatiemiddelen | aanpassing | aanpasbaarheid | aanpasbaar | aanpasbaar | aanpasbaar | adaptief | Aanpasbaar | adaptables
Doing,Material,Material,Dispositive,assist,assisted | assistance | assistively | assistences | assisting | assisters | assiste | assistents | assistful | assister | assistive | assistancy | assistant | assistes | assistiti | assistions | assistence | assistancies | assistent,steun | bijstand | assisterend | assisteren | assisteren | assistenten | assisteren | assistenten | behulpzaam | assistent | assisterend | assistentschap | assistent | assisteert | assiti | assisteren | hulp | assistent-assistenten | assistent
Doing,Material,Material,Dispositive,belong,belonges | belongers | belonger | belonged | belongs | belonging | belonge | belongeing | belongness,behoort | Behoorders | behager | behoorde | behoort | behorend | thuis horen | Bijhorende | nabijheid
Doing,Material,Material,Dispositive,belong becam,N/A,N/A
Doing,Material,Material,Dispositive,borne,bornee | bornees,bore | bores
